"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Molecular Sequence Numbers","Chemicals/CAS","Document Type","Source"
"Chen Y.; Chen X.; Zhou C.; Han J.; Bai L.","Chen, Yuang (59728016200); Chen, Xiaoyu (57200211364); Zhou, Canhui (59728216200); Han, Jing (55728851800); Bai, Lianfa (55665715500)","59728016200; 57200211364; 59728216200; 55728851800; 55665715500","Infrared NeRF reconstruction based on perceptual pose and high-frequency-invariant attention","2025","Signal Processing","0","10.1016/j.sigpro.2025.110012","https://www.scopus.com/pages/publications/105002120878?origin=resultslist","Infrared images present significant challenges in novel view synthesis (NVS) due to low resolution and limited texture features. Additionally, the adaptive gain mechanism in infrared cameras leads to variations in the illumination across different viewpoints. These all can result in potential failures when utilizing infrared images for reconstructing Neural Radiance Fields (NeRF). To address these issues, we propose an end-to-end framework for pose estimation and rendering optimization. Specifically, perceptual pose optimization is used to estimate more accurate camera pose. To enhance the matching accuracy of multi scene corresponding points, we retain high-confidence camera poses while jointly optimizing both the scene and low-confidence poses. This allows for high-quality 3D scenes with accurate pose estimation for infrared images. The high-frequency-invariant attention module is designed to focus on the high-frequency features not easily captured and invariant edge information in infrared images by densely sampling, which can use high-frequency region to compensate for the low-frequency region differences caused by the adaptive gain mechanism. We evaluated our approach on datasets consisting of near-infrared, mid-wave infrared, and long-wave infrared images. Our method successfully reconstructs NeRF using infrared images and outperforms the state-of-the-art methods in terms of performance. The dataset is available at: https://github.com/YuangChen111/IR-NeRF © 2025","","","Article","Scopus"
"Guo R.; Yu X.; Gao X.; Li N.; Wang S.; Yan B.; Sang X.","Guo, Rongxuan (60162698800); Yu, Xunbo (55850506400); Gao, Xin (57216339173); Li, Ningchi (57217007768); Wang, Shuyao (58847023600); Yan, Binbin (56975784800); Sang, Xinzhu (55148933600)","60162698800; 55850506400; 57216339173; 57217007768; 58847023600; 56975784800; 55148933600","Large-Angle Three-Dimensional Light Field Reconstruction Algorithm Based on Dual-Viewpoint Acquisition; [基于双视点采集的大视角三维光场重建算法]","2026","Guangxue Xuebao/Acta Optica Sinica","0","10.3788/AOS251455","https://www.scopus.com/pages/publications/105036234613?origin=resultslist","Objective Three-dimensional (3D) light field display technology has emerged as a promising solution for next-generation immersive visual experiences. However, conventional acquisition methods require a large number of densely sampled viewpoints to capture high-fidelity light field data, which imposes significant hardware costs and limits practical applicability. In particular, in scenarios involving large baseline configurations or wide-angle displays, occlusion between foreground and background objects often leads to severe information loss, posing a major challenge for accurate 3D scene reconstruction. To overcome these limitations, this study proposes a novel 3D light field reconstruction algorithm based on dual-viewpoint acquisition, which aims to synthesize dense-view images across a wide angular range using only two input views. This method targets the occlusion completion problem as its core innovation, leveraging recent advances in diffusion models to effectively restore missing scene details while maintaining spatial consistency. Methods The proposed framework comprises two key stages: a stereo diffusion-based occlusion completion module and a 3D Gaussian-based volumetric rendering module. In the first stage, a pair of sparsely sampled images (with angular separations up to 60°) is used to generate an initial point cloud through uncalibrated dense stereo reconstruction. A latent diffusion model is then employed to complete missing regions in the point cloud rendering, particularly targeting occluded areas where traditional stereo matching fails due to lack of correspondence. These occluded regions refer to spatial locations in the 3D scene where the reconstructed point cloud becomes sparse, discontinuous, or missing due to visibility constraints between the two input views. Such regions typically lack reliable depth and geometry information, rendering them difficult to recover using conventional stereo methods. To address this, the proposed diffusion model—designed based on an improved latent denoising diffusion probabilistic model (DDPM)—learns to restore these geometrically incomplete regions by modeling the residual mapping between the rendered point cloud images and the corresponding ground truth images. The process is conducted in a low-dimensional latent space, where the model progressively refines noisy latent representations toward photo-realistic outputs, ensuring consistency with surrounding context and structural coherence. Notably, this training process does not require explicit annotations of occluded areas; instead, the model automatically learns to infer and complete missing content through its denoising objective. The input to the diffusion model consists of 24 point cloud rendered images (each with an 8-channel feature map) along with a reference image encoded as conditional guidance. In the second stage, the completed intermediate views are used to construct a 3D Gaussian splatting (3D-GS) representation, enabling volumetric rendering across a continuous viewpoint space. This combination allows the proposed method to synthesize geometrically consistent dense-viewpoint images suitable for high-fidelity 3D display applications. Results and Discussions To evaluate the effectiveness of the proposed method, we conducted extensive experiments on a large-angle light field dataset primarily composed of human portrait images. Each experimental group involved reconstructing 96 dense viewpoints using only two input images captured at angular separations ranging from 10° to 60°. The performance was compared against three representative baselines: 1) an optical flow-based interpolation method, 2) a 3D-GS method with 9 evenly spaced input views, and 3) the standalone output of the diffusion module without subsequent Gaussian rendering. Quantitative evaluation using peak signal-to-noise ratio (PSNR) and structural similarity index (SSIM) was conducted to assess the visual fidelity of the synthesized views. Under the most challenging setting with a 60-degree angular span, the proposed method achieved a PSNR of 32.02dB and an SSIM of 0.9482, significantly outperforming the optical flow interpolation method (22.85dB, 0.8636) and the 3D Gaussian splatting baseline (21.98dB, 0.8414). Even when only the stereo diffusion completion module was used without volumetric rendering, the method maintained a strong performance of 26.92dB PSNR and 0.9075 SSIM. Similar performance advantages were observed across other angular spans, demonstrating the robustness and generalizability of the proposed framework over wide viewing ranges. To further validate the effectiveness of our method in handling occlusion, we introduced an occlusion-aware local quality analysis. Occlusion masks were computed using bidirectional optical flow from the RAFT model based on forward-backward consistency. Regions with large flow inconsistency were marked as occluded. These masks were overlaid on the input images for visualization and used to isolate foreground occluded regions for targeted evaluation. The results show that our method achieves superior reconstruction fidelity within occluded areas, with clear advantages in preserving structural continuity and recovering texture details, especially in complex scenes where other methods suffer from artifacts or geometry distortions. Finally, the reconstructed light field images were loaded onto a 65-inch 3D light field display for visualization. The synthesized results exhibit smooth disparity transitions and correct spatial perception, confirming the method's effectiveness in large-angle 3D light field display scenarios. Conclusions This study presents a dual-viewpoint-based 3D light field reconstruction algorithm capable of generating dense, high-quality light field images over a wide angular span with minimal input data. By integrating a stereo diffusion model for occlusion completion and a 3D Gaussian rendering framework for spatially consistent synthesis, the proposed method effectively addresses the challenges of sparse-viewpoint acquisition and occlusion-induced data loss. Experimental results demonstrate that our method not only surpasses existing techniques in global reconstruction quality but also exhibits notable advantages in accurately recovering occluded regions. While the current implementation has not yet achieved real-time performance (with a generation time of approximately 2-3 minutes for 96 views), future work will explore network optimization and acceleration strategies to enhance inference speed. The method's high fidelity, low input requirement, and ability to handle large viewing angles make it a promising solution for practical 3D light field display systems. © 2026, Chinese Laser Press. All rights reserved.","","","Article","Scopus"
"Orgun A.B.; Volino M.; Hilton A.; Guillemaut J.-Y.","Orgun, Alp Bora (60239962600); Volino, Marco (55785415700); Hilton, Adrian (7103389336); Guillemaut, Jean-Yves (8320645200)","60239962600; 55785415700; 7103389336; 8320645200","Dual Spherical Harmonics for 3D Gaussian Splatting: Novel View Synthesis with Dynamic Lighting","2025","Proceedings CVMP 2025 - The 22nd ACM SIGGRAPH European Conference on Visual Media Production","0","10.1145/3756863.3769709","https://www.scopus.com/pages/publications/105024855576?origin=resultslist","We present a novel framework for scene representation and rendering that combines 3D Gaussian splatting with dual spherical harmonics decomposition to enable high-quality novel view synthesis under arbitrary lighting conditions. Our key innovation lies in separately modeling diffuse and specular reflection components using distinct directional parameterizations: view direction for diffuse components and reflection direction for specular components. This dual spherical harmonic (SH) decomposition, enables realistic rendering of reflective surfaces while maintaining the computational efficiency of Gaussian splatting. To address geometric fidelity challenges, our method incorporates a comprehensive optimization strategy including silhouette-guided geometric constraints for sharp opacity boundaries, HDR saturation loss for handling bright regions in high dynamic range environments, and multi-faceted normal vector optimization with photometric and physics-based supervision. Experimental validation on the DiLiGenT-MV benchmark demonstrates superior performance compared to existing methods, with significant improvements in PSNR, SSIM, and LPIPS metrics while achieving fast optimisation and real-time rendering performance suitable for interactive applications.  © 2025 Copyright is held by the owner/author(s). Publication rights licensed to ACM.","","","Conference paper","Scopus"
"Hahlbohm F.; Friederichs F.; Weyrich T.; Franke L.; Kappel M.; Castillo S.; Stamminger M.; Eisemann M.; Magnor M.","Hahlbohm, Florian (58964417700); Friederichs, Fabian (57226477266); Weyrich, Tim (18435535300); Franke, Linus (57218364238); Kappel, Moritz (57216409673); Castillo, Susana (56312658200); Stamminger, Marc (55906526700); Eisemann, Martin (7007089818); Magnor, Marcus (57191188427)","58964417700; 57226477266; 18435535300; 57218364238; 57216409673; 56312658200; 55906526700; 7007089818; 57191188427","Efficient Perspective-Correct 3D Gaussian Splatting Using Hybrid Transparency","2025","Computer Graphics Forum","10","10.1111/cgf.70014","https://www.scopus.com/pages/publications/105002245420?origin=resultslist","3D Gaussian Splats (3DGS) have proven a versatile rendering primitive, both for inverse rendering as well as real-time exploration of scenes. In these applications, coherence across camera frames and multiple views is crucial, be it for robust convergence of a scene reconstruction or for artifact-free fly-throughs. Recent work started mitigating artifacts that break multi-view coherence, including popping artifacts due to inconsistent transparency sorting and perspective-correct outlines of (2D) splats. At the same time, real-time requirements forced such implementations to accept compromises in how transparency of large assemblies of 3D Gaussians is resolved, in turn breaking coherence in other ways. In our work, we aim at achieving maximum coherence, by rendering fully perspective-correct 3D Gaussians while using a high-quality approximation of accurate blending, hybrid transparency, on a per-pixel level, in order to retain real-time frame rates. Our fast and perspectively accurate approach for evaluation of 3D Gaussians does not require matrix inversions, thereby ensuring numerical stability and eliminating the need for special handling of degenerate splats, and the hybrid transparency formulation for blending maintains similar quality as fully resolved per-pixel transparencies at a fraction of the rendering costs. We further show that each of these two components can be independently integrated into Gaussian splatting systems. In combination, they achieve up to 2× higher frame rates, 2× faster optimization, and equal or better image quality with fewer rendering artifacts compared to traditional 3DGS on common benchmarks. © 2025 The Author(s). Computer Graphics Forum published by Eurographics - The European Association for Computer Graphics and John Wiley & Sons Ltd.","","","Article","Scopus"
"Chen G.; Liu J.; Du S.; Wu C.; Li D.; Huang S.-S.; Zhang G.; Yang S.","Chen, Guo (60131405700); Liu, Jiarun (59723516100); Du, Sicong (59672699200); Wu, Chenming (57192425548); Li, Deqi (58064271000); Huang, Shi-Sheng (55684979400); Zhang, Guofeng (55899804500); Yang, Sheng (57199268482)","60131405700; 59723516100; 59672699200; 57192425548; 58064271000; 55684979400; 55899804500; 57199268482","GS-RoadPatching: Inpainting Gaussians via 3D Searching and Placing for Driving Scenes","2025","Proceedings - SIGGRAPH Asia 2025 Conference Papers, SA 2025","0","10.1145/3757377.3763892","https://www.scopus.com/pages/publications/105032521474?origin=resultslist","This paper presents GS-RoadPatching, an inpainting method for driving scene completion by referring to completely reconstructed regions, which are represented by 3D Gaussian Splatting (3DGS). Unlike existing 3DGS inpainting methods that perform generative completion relying on 2D perspective-view-based diffusion or GAN models to predict limited appearance or depth cues for missing regions, our approach enables substitutional scene inpainting and editing directly through the 3DGS modality, extricating it from requiring spatial-temporal consistency of 2D cross-modals and eliminating the need for time-intensive retraining of Gaussians. Our key insight is that the highly repetitive patterns in driving scenes often share multi-modal similarities within the implicit 3DGS feature space and are particularly suitable for structural matching to enable effective 3DGS-based substitutional inpainting. Practically, we construct feature-embedded 3DGS scenes to incorporate a patch measurement method for abstracting local context at different scales and, subsequently, propose a structural search method to find candidate patches in 3D space effectively. Finally, we propose a simple yet effective substitution-and-fusion optimization for better visual harmony. We conduct extensive experiments on multiple publicly available datasets to demonstrate the effectiveness and efficiency of our proposed method in driving scenes, and the results validate that our method achieves state-of-the-art performance compared to the baseline methods in terms of both quality and interoperability. Additional experiments in general scenes also demonstrate the applicability of the proposed 3D inpainting strategy. The project page and code are available at: https://shanzhaguoo.github.io/GS-RoadPatching/. © 2025 Copyright held by the owner/author(s).","","","Conference paper","Scopus"
"Xie R.; Huang K.; Luo X.; Chen Y.; Wang L.; Wang Q.; Ye Q.; Chen W.; Zheng W.; Huo Y.","Xie, Rengan (57244810600); Huang, Kai (58830020400); Luo, Xiaoliang (59954801700); Chen, Yizheng (57226187968); Wang, Lvchun (59533144800); Wang, Qi (59953663800); Ye, Qi (57201431769); Chen, Wei (55613230656); Zheng, Wenting (8433438400); Huo, Yuchi (55931980100)","57244810600; 58830020400; 59954801700; 57226187968; 59533144800; 59953663800; 57201431769; 55613230656; 8433438400; 55931980100","LDM: Large tensorial SDF model for textured mesh generation","2025","Graphical Models","0","10.1016/j.gmod.2025.101271","https://www.scopus.com/pages/publications/105008492771?origin=resultslist","Previous efforts have managed to generate production-ready 3D assets from text or images. However, these methods primarily employ NeRF or 3D Gaussian representations, which are not adept at producing smooth, high-quality geometries required by modern rendering pipelines. In this paper, we propose LDM, a Large tensorial SDF Model, which introduces a novel feed-forward framework capable of generating high-fidelity, illumination-decoupled textured mesh from a single image or text prompts. We firstly utilize a multi-view diffusion model to generate sparse multi-view inputs from single images or text prompts, and then a transformer-based model is trained to predict a tensorial SDF field from these sparse multi-view image inputs. Finally, we employ a gradient-based mesh optimization layer to refine this model, enabling it to produce an SDF field from which high-quality textured meshes can be extracted. Extensive experiments demonstrate that our method can generate diverse, high-quality 3D mesh assets with corresponding decomposed RGB textures within seconds. The project code is available at https://github.com/rgxie/LDM. © 2025","","","Article","Scopus"
"Bertramo N.; Duguey G.; Gopalakrishnan V.","Bertramo, Noe (60066265400); Duguey, Gabriel (60065896300); Gopalakrishnan, Vivek (57212023927)","60066265400; 60065896300; 57212023927","DiffUS: Differentiable Ultrasound Rendering from Volumetric Imaging","2026","Lecture Notes in Computer Science","0","10.1007/978-3-032-06329-8_3","https://www.scopus.com/pages/publications/105018799503?origin=resultslist","Intraoperative ultrasound imaging provides real-time guidance during numerous surgical procedures, but its interpretation is complicated by noise, artifacts, and poor alignment with high-resolution preoperative MRI/CT scans. To bridge the gap between preoperative planning and intraoperative guidance, we present DiffUS, a physics-based, differentiable ultrasound renderer that synthesizes realistic B-mode images from volumetric imaging. DiffUS first converts MRI 3D scans into acoustic impedance volumes using a machine learning approach. Next, we simulate ultrasound beam propagation using ray tracing with coupled reflection-transmission equations. DiffUS formulates wave propagation as a sparse linear system that captures multiple internal reflections. Finally, we reconstruct B-mode images via depth-resolved echo extraction across fan-shaped acquisition geometry, incorporating realistic artifacts including speckle noise and depth-dependent degradation. DiffUS is entirely implemented as differentiable tensor operations in PyTorch, enabling gradient-based optimization for downstream applications such as slice-to-volume registration and volumetric reconstruction. Evaluation on the ReMIND dataset demonstrates DiffUS’s ability to generate anatomically accurate ultrasound images from brain MRI data. Our implementation is available at https://github.com/gduguey/DiffUS. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","","","Conference paper","Scopus"
"Sun Y.; Huang M.; Huang G.; Lu W.; He S.; Li J.; Su J.","Sun, Yebing (60605676900); Huang, Min (57688981600); Huang, Gangbo (60605677000); Lu, Wenbo (60605781900); He, Shi (60605574500); Li, Jie (60605464700); Su, Jinhe (57026764200)","60605676900; 57688981600; 60605677000; 60605781900; 60605574500; 60605464700; 57026764200","Gaussian Adaptive Density Control with SDF Constraints (GADC-SDF) for 3D Human Avatar Modeling","2026","Algorithms","0","10.3390/a19040273","https://www.scopus.com/pages/publications/105037215624?origin=resultslist","Three-dimensional Gaussian Splatting (3DGS) methods have achieved real-time rendering and high-precision modeling in 3D human avatar modeling. However, most existing methods perform Gaussian sphere cloning, splitting, and pruning without explicit geometric constraints in density control, resulting in inadequate detail reconstruction. To address this, we propose a Gaussian Adaptive Density Control method with SDF constraints (GADC-SDF). Specifically, we introduce the Signed Distance Field (SDF) as explicit geometric constraints for adaptive density control in 3DGS optimization. First, SDF voxel grids are constructed from the SMPL-X mesh. Then, SDF values are applied to prune spheres outside the human body, while additional Gaussian spheres are cloned around the human surface. Furthermore, SDF gradients are utilized to split more Gaussian spheres in detail-rich regions. Experiments conducted on X-Humans, UPB, and ZJU_MoCap datasets demonstrate that our method matches the performance of state-of-the-art baselines across most quantitative metrics while providing a modest improvement in perceptual quality. © 2026 by the authors.","","","Article","Scopus"
"Yang Y.; Guo Z.; Chen Z.; Wang H.","Yang, Yongqi (59661331800); Guo, Zeyu (57822762500); Chen, Zhen (57188693663); Wang, Huachuang (55070228800)","59661331800; 57822762500; 57188693663; 55070228800","Noise-Adaptive Filtering Algorithm for Array Single-Photon LiDAR; [阵列单光子激光雷达噪声自适应滤波算法研究]","2026","Laser and Optoelectronics Progress","0","10.3788/LOP251397","https://www.scopus.com/pages/publications/105029835868?origin=resultslist","Objective With the advancement of three-dimensional (3D) sensing technology toward long-range and high-precision applications, single-photon LiDAR (SPL) has emerged as a cutting-edge technology in remote 3D imaging due to its single-photon-level detection sensitivity and picosecond time resolution. However, for mid-to-long-range imaging (e. g., kilometer-scale), the number of echo photons decreases sharply, leading to significantly reduced signal-to-noise ratios (SNR). Additionally, the demand for high temporal resolution results in a surge in data volume (e. g., approximately 6.7×104 time bins for 10 km ranging), rendering traditional algorithms inefficient and unsuitable for real-time processing. Furthermore, in dynamic scenes, target motion causes echo photons to scatter across multiple time bins, further complicating signal extraction. Existing methods, such as first-photon imaging, fail under low SNR conditions, while non-local spatial correlation algorithms suffer from high computational complexity, and sliding-window filtering becomes inefficient for large-scale data at long distances. Therefore, developing an efficient and adaptive noise filtering algorithm to improve photon utilization and imaging speed has become a critical challenge. This study aims to propose a noise-adaptive spatiotemporal filtering algorithm, providing a viable technical solution for real-time 3D reconstruction in applications such as autonomous driving and topographic mapping. Methods This study presents a noise-adaptive spatiotemporal collaborative filtering algorithm, consisting of two key steps: 1) noiseadaptive gating and screening. Based on time-correlated single-photon counting (TCSPC) technology, the statistical differences between noise photons (uniform distribution) and signal photons (Poisson distribution) are analyzed. By theoretically modeling the relationship between false alarm probability and gating threshold (Eqs. 1-2), a dynamic threshold is set using prior noise information to rapidly screen potential signal intervals, reducing invalid data processing by 80% (Figs. 1-2).2) Multi-scale temporal convolution and spatial joint enhancement. To address the discretization of echo signals at long distances, an adaptive Gaussian convolution kernel is designed, with its width adjusted based on laser pulse width and dynamic SNR (e. g., increasing kernel width under low SNR to enhance signal aggregation). Spatial correlation analysis of neighboring pixels (3×3 neighborhood weighting) improves SNR, while dynamic thresholding and multi-scale validation strategies (e.g., convolution kernels of 5-7 time bins) precisely locate echo positions (Fig. 3). Experiments were conducted using an 8×8 array single-photon LiDAR system (Table 1), achieving 72 pixel×104 pixel imaging through scanning and stitching. The algorithm’s performance was compared with traditional pulse accumulation methods under low pulse counts (300‒500 pulses) and strong noise conditions (injected with 1.3×106 noise photons). Results and Discussions Extensive experimental validation demonstrates remarkable performance improvements across all critical metrics. For medium-range applications (7.7 km), the algorithm achieved exceptional 93.5% contour fidelity using merely 500 accumulated pulses (0.52 ms integration time), representing a substantial 23% improvement in reconstruction accuracy compared to conventional peak detection methods under identical conditions [Fig. 6(b)]. The noise-adaptive gating mechanism demonstrated particular effectiveness, reducing processed data volume from an original 151499 photon events to just 29868 (80.3% reduction) while maintaining >90% target detection probability. In extreme noise environments with 1.3×106 artificially injected noise photons, the system automatically adapted by increasing its detection threshold to 9 and expanding the convolution kernel width to 7 time bins, still producing recognizable images where traditional methods completely failed [Fig. 6(c)]. The long-range verification at 16.5 km yielded particularly impressive results, with the algorithm successfully reconstructing detailed 3D point clouds of architectural structures featuring clearly discernible building elements and surface features (Fig. 7), using optimized parameters of threshold of 7 and 5-bin convolution kernel. Detailed performance analysis revealed several key advantages: 1) spatial correlation processing boosted effective signal strength by 3.3× through neighborhood pixel fusion; 2) multi-scale convolution improved photon utilization efficiency by 20.5% over fixed-width kernels; 3) complete processing chain achieved 96.7% reduction in computational load compared to full-data processing of 5000 pulse; 4) system maintained stable performance across varying environmental conditions and target reflectivities. Conclusions This research makes significant contributions to the field of single-photon LiDAR technology through three major innovations: 1) development of an intelligent noise-adaptive thresholding algorithm that reduces data volume by 80.3% while maintaining excellent detection sensitivity; 2) creation of a versatile multi-scale spatiotemporal processing framework that improves photon utilization efficiency by 20.5% and enables high-quality imaging with just 10% of conventional pulse requirements; 3) comprehensive demonstration of robust performance in challenging operational scenarios including 16.5 km long-range imaging and high-noise environments. The algorithm's exceptional computational efficiency (capable of processing 72 pixel×104 pixel datasets in real-time) combined with its adaptability to dynamic operating conditions makes it particularly valuable for applications demanding both high precision and rapid response, such as autonomous vehicle perception systems and high-altitude aerial surveying. Furthermore, the techniques developed in this work have broader implications for other photon-starved imaging applications including quantum radar and deep-space optical communications. Future research directions will focus on: 1) hardware implementation and optimization for larger detector arrays (e.g., 256×128 formats), 2) integration with machine learning techniques for enhanced target recognition. © 2026 Chinese Laser Press. All rights reserved.","","","Article","Scopus"
"Chen G.; Liu G.; Zhao L.; Dong Y.; Zhang M.; Hassan Y.; Zhang C.; Tian Y.","Chen, Genshen (57226846778); Liu, Gang (57198573912); Zhao, Lixing (60561206000); Dong, Yang (60164902300); Zhang, Mingxing (60560730400); Hassan, Yousif (60561676400); Zhang, Ce (60561206100); Tian, Yiping (8506875800)","57226846778; 57198573912; 60561206000; 60164902300; 60560730400; 60561676400; 60561206100; 8506875800","Web-based BVH-accelerated 3D cross-section clipping via graph-based reconstruction","2026","Big Earth Data","0","10.1080/20964471.2026.2644727","https://www.scopus.com/pages/publications/105034935602?origin=resultslist","Interactive cross-section clipping of large 3D geological models in a browser is constrained by client-side memory budgets, JavaScript execution overhead, and the cost of assembling topologically valid section contours. We propose Web3D-CS, a browser-native pipeline for extracting watertight cross-sections from large-scale geological meshes without offline preprocessing. Given a triangle mesh geological model and an interactively controlled clipping plane, we (1) traverse a mesh BVH to collect candidate triangles, (2) compute plane-triangle intersection segments robustly, (3) project segment endpoints to a 2D plane frame and merge near-duplicate endpoints through spatial hashing with tolerance (Formula presented.), (4) trace closed contour loops from the resulting degree-constrained adjacency graph, and (5) triangulate outer or inner rings using Earcut before mapping the 2D section back to 3D for rendering. Experiments on models with tens of millions of vertices show that Web3D-CS reduces total clipping time by 57%–83% and the number of cross-section triangles by 80%–88% compared with a browser-native Constructive Solid Geometry (CSG) baseline, while maintaining smooth, topologically consistent boundaries under practical browser memory limits. The results further indicate that clipping latency is driven primarily by loop complexity rather than raw vertex count, highlighting contour tracing as the key optimization target for interactive web-based geological cross-section analysis. © 2026 The Author(s). Published by Taylor & Francis Group and Science Press on behalf of the International Society for Digital Earth, supported by the International Research Center of Big Data for Sustainable Development Goals.","","","Article","Scopus"
